,Census Tract,Total Population,ZIP,Longitude,Latitude
3535,6019004210,3480,93722,-119.8702212,36.8321013
3536,6073021100,7589,91906,-116.456874,32.7026541
3537,6001423100,3964,94702,-122.2863197,37.865807
3538,6037119341,2719,91402,-118.4458757,34.2371667
3539,6067007402,6180,95660,-121.3791846,38.6869533
3540,6001440308,5883,94587,-122.0278186,37.5893439
3541,6037192410,3628,90004,-118.3181008,34.0798577
3542,6111005205,5767,93010,-119.0878362,34.2350542
3543,6037143604,3205,91604,-118.3681384,34.1420581
3544,6071007904,6697,92346,-117.1523698,34.1021545
3545,6025012302,4756,92274,-115.8770315,33.27526
3546,6001440307,4219,94587,-122.0486869,37.5911419
3547,6099003905,3871,95380,-120.8252426,37.4998207
3548,6073013802,2957,91977,-117.0104099,32.734589
3549,6067000400,3667,95816,-121.4693603,38.5800964
3550,6073020029,4819,92078,-117.189465,33.1392223
3551,6065043513,2456,92583,-116.928542,33.7748145
3552,6073002709,3945,92105,-117.0896386,32.7439931
3553,6037900501,6764,93535,-118.1206518,34.6836304
3554,6073013907,4185,91977,-117.0027482,32.7202478
3555,6099000101,4928,95230,-120.831488,37.8903605
3556,6039000102,4163,93644,-119.3767852,37.3965946
3557,6071010016,5584,92345,-117.3552403,34.4348061
3558,6037576801,4325,90814,-118.1642818,33.7715757
3559,6089012301,2578,96007,-122.352295,40.4748672
3560,6095251400,5357,94589,-122.23956,38.1237134
3561,6059088201,4022,92841,-117.9631284,33.7958279
3562,6073002201,3796,92105,-117.1124957,32.7524807
3563,6037501503,5016,90601,-118.0364753,33.9861018
3564,6045011300,5972,95482,-123.2858932,39.1031607
3565,6001443002,5918,94538,-121.9605916,37.5168344
3566,6067001400,2466,95816,-121.4721306,38.573984
3567,6037297602,3503,90731,-118.2903209,33.7159024
3568,6065044404,1860,92549,-116.7880179,33.7705133
3569,6001406300,4113,94601,-122.2250125,37.7892881
3570,6037216401,4189,90035,-118.3797435,34.0566897
3571,6013374000,4506,94804,-122.3414882,37.9394176
3572,6037900607,3904,93535,-118.1241061,34.6932022
3573,6085503118,5474,95122,-121.8429997,37.3186901
